,secid,date,expiration,AMSettlement,ForwardPrice,ticker
0,0,2010-01-04,2010-04-17,0,217.42669255115132,AAPL
1,0,2010-01-04,2010-07-17,0,218.53072595171565,AAPL
2,0,2010-01-04,2010-02-20,0,209.67289135715293,AAPL
3,0,2010-01-04,2010-01-16,0,215.3339609670002,AAPL
4,0,2010-01-04,2011-01-22,0,207.2899144352442,AAPL
5,0,2010-01-05,2010-04-17,0,214.48095932236913,AAPL
6,0,2010-01-05,2010-07-17,0,211.17226281056233,AAPL
7,0,2010-01-05,2010-02-20,0,213.09613320560686,AAPL
8,0,2010-01-05,2010-01-16,0,214.9217136684687,AAPL
9,0,2010-01-05,2011-01-22,0,219.65016461058147,AAPL
10,0,2010-01-06,2010-04-17,0,213.11542913529252,AAPL
11,0,2010-01-06,2010-07-17,0,207.76188249441515,AAPL
12,0,2010-01-06,2010-02-20,0,215.79985234601708,AAPL
13,0,2010-01-06,2010-01-16,0,211.10988565118396,AAPL
14,0,2010-01-06,2011-01-22,0,213.88078886505346,AAPL
15,0,2010-01-07,2010-04-17,0,209.9518463561034,AAPL
16,0,2010-01-07,2010-07-17,0,208.1110135798859,AAPL
17,0,2010-01-07,2010-02-20,0,210.3283983744201,AAPL
18,0,2010-01-07,2010-01-16,0,214.1116801507297,AAPL
19,0,2010-01-07,2011-01-22,0,217.15402528863928,AAPL
20,0,2010-01-08,2010-04-17,0,214.40566358698308,AAPL
21,0,2010-01-08,2010-07-17,0,213.90637679662944,AAPL
22,0,2010-01-08,2010-02-20,0,210.52653462424612,AAPL
23,0,2010-01-08,2010-01-16,0,210.06866780462397,AAPL
24,0,2010-01-08,2011-01-22,0,214.98021673861504,AAPL
25,0,2010-01-11,2010-04-17,0,208.11566626778816,AAPL
26,0,2010-01-11,2010-07-17,0,207.06609290895992,AAPL
27,0,2010-01-11,2010-02-20,0,208.46553921000825,AAPL
28,0,2010-01-11,2010-01-16,0,219.26297819094114,AAPL
29,0,2010-01-11,2011-01-22,0,213.91173303866086,AAPL
30,0,2010-01-12,2010-04-17,0,204.3693805365836,AAPL
31,0,2010-01-12,2010-07-17,0,210.72429758929613,AAPL
32,0,2010-01-12,2010-02-20,0,204.1174187106013,AAPL
33,0,2010-01-12,2010-01-16,0,207.25192879056746,AAPL
34,0,2010-01-12,2011-01-22,0,211.85895630220963,AAPL
35,0,2010-01-13,2010-04-17,0,211.28797224580433,AAPL
36,0,2010-01-13,2010-07-17,0,211.92931434805152,AAPL
37,0,2010-01-13,2010-02-20,0,211.68311929200019,AAPL
38,0,2010-01-13,2010-01-16,0,207.86836759217547,AAPL
39,0,2010-01-13,2011-01-22,0,215.57117546268933,AAPL
40,0,2010-01-14,2010-04-17,0,210.7876578510668,AAPL
41,0,2010-01-14,2010-07-17,0,212.4326355313395,AAPL
42,0,2010-01-14,2010-02-20,0,209.76408472384153,AAPL
43,0,2010-01-14,2010-01-16,0,212.29552814131986,AAPL
44,0,2010-01-14,2011-01-22,0,204.5046697000015,AAPL
45,0,2010-01-15,2010-04-17,0,204.93684074882952,AAPL
46,0,2010-01-15,2010-07-17,0,212.51669583959819,AAPL
47,0,2010-01-15,2010-02-20,0,203.3633471570295,AAPL
48,0,2010-01-15,2010-01-16,0,204.00297406857328,AAPL
49,0,2010-01-15,2011-01-22,0,203.4568518580554,AAPL
50,0,2010-01-19,2010-04-17,0,215.878086986867,AAPL
51,0,2010-01-19,2010-07-17,0,217.91404644911086,AAPL
52,0,2010-01-19,2010-03-20,0,213.69286143041674,AAPL
53,0,2010-01-19,2010-02-20,0,207.9654810724654,AAPL
54,0,2010-01-19,2011-01-22,0,219.27680471102306,AAPL
55,0,2010-01-20,2010-04-17,0,215.5229838883702,AAPL
56,0,2010-01-20,2010-07-17,0,211.2390300679653,AAPL
57,0,2010-01-20,2010-03-20,0,209.86061331827864,AAPL
58,0,2010-01-20,2010-02-20,0,210.2951683681775,AAPL
59,0,2010-01-20,2011-01-22,0,207.47840761304442,AAPL
60,0,2010-01-21,2010-04-17,0,208.7934750121411,AAPL
61,0,2010-01-21,2010-07-17,0,211.2804977640462,AAPL
62,0,2010-01-21,2010-03-20,0,210.2201020342981,AAPL
63,0,2010-01-21,2010-02-20,0,204.29714548599856,AAPL
64,0,2010-01-21,2011-01-22,0,207.34735126382884,AAPL
65,0,2010-01-22,2010-04-17,0,199.68986320793917,AAPL
66,0,2010-01-22,2010-07-17,0,195.4493748718609,AAPL
67,0,2010-01-22,2010-03-20,0,196.608418648342,AAPL
68,0,2010-01-22,2010-02-20,0,200.27680386807646,AAPL
69,0,2010-01-22,2011-01-22,0,197.31196059957767,AAPL
70,0,2010-01-25,2010-04-17,0,201.27833883641046,AAPL
71,0,2010-01-25,2010-07-17,0,203.43049834528983,AAPL
72,0,2010-01-25,2010-03-20,0,205.11477424144783,AAPL
73,0,2010-01-25,2010-02-20,0,198.17802249115383,AAPL
74,0,2010-01-25,2011-01-22,0,206.05801477972372,AAPL
75,0,2010-01-26,2010-04-17,0,204.32466930187618,AAPL
76,0,2010-01-26,2010-07-17,0,205.91989482483652,AAPL
77,0,2010-01-26,2010-03-20,0,205.610040789827,AAPL
78,0,2010-01-26,2010-02-20,0,208.73181993607025,AAPL
79,0,2010-01-26,2011-01-22,0,200.0913355445741,AAPL
80,0,2010-01-27,2010-04-17,0,209.67493953670316,AAPL
81,0,2010-01-27,2010-07-17,0,204.46226530614751,AAPL
82,0,2010-01-27,2010-03-20,0,203.8517232427865,AAPL
83,0,2010-01-27,2010-02-20,0,202.48729699830932,AAPL
84,0,2010-01-27,2011-01-22,0,207.38327578469534,AAPL
85,0,2010-01-28,2010-04-17,0,195.71576878971797,AAPL
86,0,2010-01-28,2010-07-17,0,198.76452098912685,AAPL
87,0,2010-01-28,2010-03-20,0,202.264139347638,AAPL
88,0,2010-01-28,2010-02-20,0,197.8210134083814,AAPL
89,0,2010-01-28,2011-01-22,0,196.50783050280302,AAPL
90,0,2010-01-29,2010-04-17,0,193.84916758398023,AAPL
91,0,2010-01-29,2010-07-17,0,193.2637825082531,AAPL
92,0,2010-01-29,2010-03-20,0,185.60493026816684,AAPL
93,0,2010-01-29,2010-02-20,0,195.3447818094144,AAPL
94,0,2010-01-29,2011-01-22,0,190.7236548516654,AAPL
95,0,2010-02-01,2010-04-17,0,195.68789480345222,AAPL
96,0,2010-02-01,2010-07-17,0,195.09984937604725,AAPL
97,0,2010-02-01,2010-03-20,0,192.67620896679458,AAPL
98,0,2010-02-01,2010-02-20,0,194.90628918481158,AAPL
